2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00000e64 	CTraceStack In, CUpLive::_GetAssignSvrUrl() : (null) 	FL:UpLive.cpp(842)
2013/11/22 10:24:43 	I 	kuaipan 	000019ec:00000e64 	current version is: 3.11.15.15 	FL:UpLive.cpp(847)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CMainForm::Start : (null) 	FL:MainForm.cpp(2148)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CsyncCenter::IsUserMounted : (null) 	FL:EncryptDisk.cpp(169)
2013/11/22 10:24:43 	I 	kuaipan 	000019ec:00000e64 	CUpLive::_GetAssignSvrUrl(): No need Update. 	FL:UpLive.cpp(900)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00000e64 	CTraceStack Out,CUpLive::_GetAssignSvrUrl() : hr = 1, UserTime: 0'.156' 	FL:UpLive.cpp(842)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CsyncCenter::IsUserMounted : UserTime: 0'.124'' 	FL:EncryptDisk.cpp(169)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CXLiveController::CanTryLogin : (null) 	FL:XLiveController.cpp(308)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CXLiveController::CanTryLogin : UserTime: 0'.0'' 	FL:XLiveController.cpp(308)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CXLiveController::TryLogin : (null) 	FL:XLiveController.cpp(315)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CXLiveController::TryLogin : UserTime: 0'.110'' 	FL:XLiveController.cpp(315)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CXLiveController::Mount : (null) 	FL:XLiveController.cpp(123)
